"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","1uF","~","","1",""
"C2","0.22nF","~","","1",""
"C3","100nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C4","2.2uF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"R2,R4","8.2k","~","","2",""
"R3","330k","~","","1",""
"R5","300k","~","","1",""
"R6","1k","~","","1",""
"R7","33k","~","","1",""
"R8,R9","1M","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R10","2.2k","~","","1",""
"R11,R12,R13,R14,R15,R16","50k","~","","6",""
"U2,U3,U4,U5,U6,U7,U8","LM741","http://www.ti.com/lit/ds/symlink/lm741.pdf","","7",""
